,	,	action_id,	action_type,	win,	name,	name_eng,	player,	opponent,	point,	dest,	stop time,	Доп,	Описание,	order,	,	,	,	,	
,	100000,	,	,	,	Передачи,	,	,	,	,	,	,	,	,	,	,	,	,	,	
x,	100100,	1,	1,	,	Вбрасывание,	Faceoff,	v,	v,	v,	,	,	,	,	,	,	
x,	100200,	1,	2,	,	Голевая передача,	assist,	v,	v,	v,	,	,	,	,	,	,	,	,	,	
x,	100300,	1,	3,	,	Пас по борту,	,	v,	v,	v,	v,	,	,	Пас по борту,	,	,	,	,	,	
x,	100301,	1,	3,	1,	Пас по борту (+),	,	v,	v,	v,	v,	,	,	Пас по борту точный,	,	,	,	,	,	
x,	100302,	1,	3,	2,	Пас по борту (-),	,	v,	v,	v,	v,	,	,	Пас по борту неточный,	,	,	,	,	,	
x,	100400,	1,	4,	,	Пас (конструктивная передача),	,	v,	v,	v,	v,	,	,	Конструктивная передача,	,	,	,	,	,	
x,	100401,	1,	4,	1,	Пас (+),	,	v,	v,	v,	v,	,	,	Конструктивная передача точная,	,	,	,	,	,	
x,	100402,	1,	4,	2,	Пас (-),	,	v,	v,	v,	v,	,	,	Конструктивная передача неточная,	,	,	,	,	,	
x,	100500,	1,	5,	,	ОП (острая передача),	,	v,	v,	v,	v,	,	,	Острая передача,	,	,	,	,	,	
x,	100501,	1,	5,	1,	ОП (+),	,	v,	v,	v,	v,	,	,	Острая передача точная,	,	,	,	,	,	
x,	100502,	1,	5,	2,	ОП (-),	,	v,	v,	v,	v,	,	,	Острая передача неточная,	,	,	,	,	,	
x,	100601,	1,	6,	1,	Выброс (+),	,	v,	v,	,	,	,	,	Выброс удачный,	,	,	
x,	100602,	1,	6,	2,	Выброс (-),	,	v,	v,	,	,	,	,	Выброс неудачный,	,	,	
x,	100801,	1,	8,	1,	Вброс (+),	,	v,	v,	v,	v,	,	,	Вброс удачный,	,	,	
,	100802,	1,	8,	2,	Вброс (-),	,	v,	v,	v,	v,	,	,	Вброс неудачный,	,	,	
,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
,	200000,	,	,	,	Взаимодействие,	,	,	,	,	,	,	,	,	,	,	,	,	,	
x,	200100,	2,	1,	,	Единоборство,	,	v,	v,	v,	,	,	,	,	,	,	,	,	,	
